TCGA-A2-A4RW-01A-21D-A25Q-09
TCGA-5L-AAT1-01A-12D-A41F-09
TCGA-A2-A3Y0-01A-11D-A23C-09
TCGA-A2-A3XV-01A-21D-A23C-09
TCGA-A2-A3KC-01A-11D-A20S-09
TCGA-5T-A9QA-01A-11D-A41F-09
TCGA-A2-A4S3-01A-21D-A25Q-09
TCGA-3C-AALJ-01A-31D-A41F-09
TCGA-A2-A0CR-01A-11D-A228-09
TCGA-A2-A3XX-01A-21D-A23C-09
TCGA-3C-AALI-01A-11D-A41F-09
TCGA-A2-A4RY-01A-31D-A25Q-09
TCGA-A2-A0CK-01A-11D-A228-09
TCGA-4H-AAAK-01A-12D-A41F-09
TCGA-A2-A0EP-01A-52D-A22X-09
TCGA-3C-AAAU-01A-11D-A41F-09
TCGA-A2-A4S1-01A-21D-A25Q-09
TCGA-5L-AAT0-01A-12D-A41F-09
TCGA-A2-A0CO-01A-13D-A228-09
TCGA-A2-A4S2-01A-12D-A25Q-09
TCGA-A2-A4S0-01A-21D-A25Q-09
TCGA-A2-A3XS-01A-11D-A22X-09
TCGA-A2-A3XU-01A-12D-A22X-09
TCGA-A2-A3KD-01A-12D-A20S-09
TCGA-A2-A3XW-01A-11D-A23C-09
TCGA-3C-AALK-01A-11D-A41F-09
TCGA-A2-A3XT-01A-11D-A22X-09
TCGA-A2-A4RX-01A-11D-A25Q-09
TCGA-A2-A3XY-01A-11D-A23C-09
TCGA-A7-A0DB-01C-02D-A272-09
TCGA-A2-A3XZ-01A-42D-A23C-09
TCGA-AC-A5EI-01A-11D-A27P-09
TCGA-GM-A3XN-01A-12D-A22X-09
TCGA-AC-A4ZE-01A-11D-A41F-09
TCGA-S3-AA11-01A-31D-A41F-09
TCGA-OL-A66K-01A-11D-A29N-09
TCGA-S3-AA12-01A-11D-A41F-09
TCGA-AQ-A54O-01A-11D-A25Q-09
TCGA-LD-A74U-01A-13D-A33E-09
TCGA-E9-A54X-01A-11D-A25Q-09
TCGA-OL-A5S0-01A-11D-A28B-09
TCGA-AC-A3W5-01A-11D-A228-09
TCGA-LQ-A4E4-01A-11D-A25Q-09
TCGA-GM-A4E0-01A-12D-A25Q-09
TCGA-A7-A26J-01B-02D-A272-09
TCGA-OL-A5D8-01A-11D-A27P-09
TCGA-OL-A97C-01A-32D-A41F-09
TCGA-A7-A3RF-01A-11D-A228-09
TCGA-B6-A402-01A-11D-A23C-09
TCGA-PE-A5DC-01A-12D-A27P-09
TCGA-D8-A3Z5-01A-41D-A243-09
TCGA-D8-A4Z1-01A-21D-A25Q-09
TCGA-E9-A3HO-01A-11D-A20S-09
TCGA-PL-A8LZ-01A-31D-A36J-09
TCGA-E9-A3X8-01A-31D-A22X-09
TCGA-PL-A8LY-01A-11D-A41F-09
TCGA-AR-A5QM-01A-11D-A27P-09
TCGA-LD-A7W5-01A-22D-A351-09
TCGA-AC-A3YI-01A-21D-A23C-09
TCGA-D8-A3Z6-01A-11D-A23C-09
TCGA-LL-A740-01A-21D-A32I-09
TCGA-E2-A570-01A-11D-A29N-09
TCGA-A7-A4SF-01A-11D-A25Q-09
TCGA-OL-A6VR-01A-32D-A33E-09
TCGA-WT-AB41-01A-11D-A41F-09
TCGA-LL-A73Y-01A-11D-A33E-09
TCGA-D8-A73W-01A-22D-A351-09
TCGA-E9-A5UO-01A-11D-A28B-09
TCGA-XX-A899-01A-11D-A36J-09
TCGA-B6-A40C-01A-11D-A23C-09
TCGA-V7-A7HQ-01A-11D-A33E-09
TCGA-S3-A6ZG-01A-22D-A32I-09
TCGA-E2-A14U-01A-11D-A228-09
TCGA-A7-A13H-01A-11D-A228-09
TCGA-LD-A66U-01A-11D-A31U-09
TCGA-AR-A5QQ-01A-11D-A28B-09
TCGA-EW-A6SD-01A-12D-A33E-09
TCGA-BH-A8G0-01A-11D-A351-09
TCGA-AC-A62X-01A-11D-A29N-09
TCGA-EW-A6SB-01A-12D-A32I-09
TCGA-WT-AB44-01A-11D-A41F-09
TCGA-LL-A9Q3-01A-11D-A41F-09
TCGA-AR-A2LJ-01A-12D-A19Y-09
TCGA-AC-A6IX-01A-12D-A32I-09
TCGA-AC-A6IW-01A-12D-A33E-09
TCGA-PE-A5DE-01A-11D-A27P-09
TCGA-A7-A13E-01B-06D-A272-09
TCGA-AC-A6IV-01A-12D-A33E-09
TCGA-A7-A3J1-01A-11D-A20S-09
TCGA-LL-A50Y-01A-11D-A25Q-09
TCGA-LD-A9QF-01A-32D-A41F-09
TCGA-EW-A6S9-01A-22D-A33E-09
TCGA-OL-A66J-01A-11D-A29N-09
TCGA-B6-A408-01A-12D-A243-09
TCGA-A7-A4SB-01A-21D-A25Q-09
TCGA-EW-A6SA-01A-21D-A32I-09
TCGA-E9-A5FK-01A-11D-A27P-09
TCGA-LL-A5YO-01A-21D-A28B-09
TCGA-GM-A3NY-01A-11D-A21Q-09
TCGA-AC-A5EH-01A-11D-A28B-09
TCGA-LL-A7T0-01A-31D-A351-09
TCGA-OL-A66N-01A-12D-A31U-09
TCGA-E2-A2P5-01A-11D-A19Y-09
TCGA-S3-A6ZF-01A-32D-A32I-09
TCGA-PL-A8LX-01A-11D-A41F-09
TCGA-E2-A572-01A-13D-A31U-09
TCGA-BH-A42T-01A-11D-A243-09
TCGA-Z7-A8R5-01A-42D-A41F-09
TCGA-AC-A7VC-01A-11D-A351-09
TCGA-OL-A66I-01A-21D-A29N-09
TCGA-UU-A93S-01A-21D-A41F-09
TCGA-E2-A56Z-01A-12D-A29N-09
TCGA-B6-A401-01A-11D-A23C-09
TCGA-OL-A5DA-01A-11D-A27P-09
TCGA-A7-A5ZW-01A-12D-A29N-09
TCGA-LL-A6FP-01A-11D-A31U-09
TCGA-BH-A8FY-01A-11D-A36J-09
TCGA-HN-A2OB-01A-21D-A27P-09
TCGA-GM-A5PV-01A-11D-A28B-09
TCGA-A7-A3IY-01A-21D-A21Q-09
TCGA-AC-A3TN-01A-11D-A228-09
TCGA-OL-A5RY-01A-21D-A28B-09
TCGA-A7-A13D-01B-04D-A272-09
TCGA-A7-A4SD-01A-11D-A25Q-09
TCGA-A7-A2KD-01A-31D-A21Q-09
TCGA-AC-A3QQ-01A-11D-A228-09
TCGA-OL-A66O-01A-11D-A31U-09
TCGA-OL-A66L-01A-12D-A31U-09
TCGA-EW-A2FR-01A-11D-A21Q-09
TCGA-PE-A5DD-01A-12D-A27P-09
TCGA-EW-A3E8-01B-11D-A243-09
TCGA-AC-A5XS-01A-11D-A29N-09
TCGA-EW-A3U0-01A-11D-A228-09
TCGA-A7-A3J0-01A-11D-A20S-09
TCGA-BH-A5J0-01A-11D-A27P-09
TCGA-AC-A8OQ-01A-11D-A41F-09
TCGA-BH-A0B6-01A-11D-A19Y-09
TCGA-A1-A0SB-01A-11D-A142-09
TCGA-A2-A0T1-01A-21D-A099-09
TCGA-A1-A0SQ-01A-21D-A142-09
TCGA-A1-A0SN-01A-11D-A142-09
TCGA-A1-A0SG-01A-11D-A142-09
TCGA-A1-A0SI-01A-11D-A142-09
TCGA-A2-A1G6-01A-11D-A13L-09
TCGA-A2-A0YH-01A-11D-A10G-09
TCGA-A2-A1G0-01A-11D-A13L-09
TCGA-A2-A25D-01A-12D-A16D-09
TCGA-A1-A0SF-01A-11D-A142-09
TCGA-A2-A1FW-01A-11D-A13L-09
TCGA-A2-A0YI-01A-31D-A10M-09
TCGA-A2-A1G1-01A-21D-A13L-09
TCGA-A1-A0SM-01A-11D-A099-09
TCGA-A2-A0YJ-01A-11D-A10G-09
TCGA-A2-A25C-01A-11D-A167-09
TCGA-A2-A1FZ-01A-51D-A17G-09
TCGA-A2-A0T0-01A-22D-A099-09
TCGA-A2-A0SW-01A-11D-A099-09
TCGA-A2-A0ES-01A-11D-A10Y-09
TCGA-A2-A25A-01A-12D-A16D-09
TCGA-A2-A25E-01A-11D-A167-09
TCGA-A1-A0SE-01A-11D-A099-09
TCGA-A2-A25F-01A-11D-A167-09
TCGA-A2-A1FV-01A-11D-A13L-09
TCGA-A2-A1G4-01A-11D-A13L-09
TCGA-A2-A25B-01A-11D-A167-09
TCGA-D8-A1XY-01A-11D-A14K-09
TCGA-D8-A27H-01A-11D-A16D-09
TCGA-D8-A1XS-01A-11D-A14K-09
TCGA-D8-A27T-01A-11D-A16D-09
TCGA-BH-A0BC-01A-22D-A099-09
TCGA-EW-A1P8-01A-11D-A142-09
TCGA-A7-A26F-01A-21D-A167-09
TCGA-BH-A201-01A-11D-A14K-09
TCGA-AR-A2LQ-01A-22D-A18P-09
TCGA-E9-A1R3-01A-31D-A14K-09
TCGA-E9-A22A-01A-11D-A159-09
TCGA-E2-A1L9-01A-11D-A13L-09
TCGA-AR-A254-01A-21D-A167-09
TCGA-D8-A1J8-01A-11D-A13L-09
TCGA-B6-A0RU-01A-11D-A099-09
TCGA-E2-A1L7-01A-11D-A142-09
TCGA-AQ-A1H3-01A-31D-A13L-09
TCGA-E9-A1RG-01A-11D-A14G-09
TCGA-C8-A26V-01A-11D-A16D-09
TCGA-BH-A0BL-01A-11D-A10Y-09
TCGA-B6-A2IU-01A-32D-A19T-09
TCGA-AO-A03V-01A-11D-A10Y-09
TCGA-D8-A27V-01A-12D-A17D-09
TCGA-E9-A1NA-01A-11D-A142-09
TCGA-A7-A26I-01A-11D-A167-09
TCGA-E9-A2JT-01A-22D-A18P-09
TCGA-E2-A1IK-01A-11D-A17G-09
TCGA-D8-A1Y2-01A-11D-A159-09
TCGA-C8-A275-01A-21D-A16D-09
TCGA-E2-A1LA-01A-11D-A142-09
TCGA-D8-A1XB-01A-11D-A14G-09
TCGA-AR-A0U0-01A-11D-A10G-09
TCGA-EW-A1IX-01A-12D-A142-09
TCGA-E9-A295-01A-11D-A16D-09
TCGA-AR-A2LM-01A-11D-A17W-09
TCGA-D8-A1JS-01A-11D-A13L-09
TCGA-E9-A22H-01A-11D-A159-09
TCGA-AR-A2LK-01A-11D-A17W-09
TCGA-AO-A1KT-01A-11D-A13L-09
TCGA-E9-A1R5-01A-11D-A14K-09
TCGA-BH-A28Q-01A-11D-A16D-09
TCGA-C8-A27A-01A-11D-A167-09
TCGA-D8-A1X6-01A-11D-A14K-09
TCGA-BH-A0DH-01A-11D-A099-09
TCGA-EW-A1PA-01A-11D-A142-09
TCGA-EW-A1PD-01A-11D-A142-09
TCGA-B6-A0X4-01A-11D-A10G-09
TCGA-D8-A1JD-01A-11D-A13L-09
TCGA-AR-A24K-01A-11D-A167-09
TCGA-C8-A273-01A-11D-A16D-09
TCGA-EW-A1J5-01A-11D-A13L-09
